athlete_external_id,athlete_name,test_date,session_id,pitch_type,pitch_no,velocity_kmh,plate_velocity_kmh,velocity_loss_pct,spin_rpm,true_spin_rpm,spin_efficiency_pct,spin_axis_clock,spin_axis_deg,gyro_degree,ivb_cm,hb_cm,vb_total_cm,release_height_m,release_side_m,release_extension_m,release_angle_deg,vaa_deg,haa_deg,plate_height_cm,plate_side_cm,in_zone,bauer_units,gap_class,gap_to_prev_s
P01,이영하,2026-05-15,SES_20260515_01,FB,1,127.96,119.0,7.0,2137.84,1379.8,64.54,01:22,41.0,49.8,23.4,13.9,-6.6,1.8,0.37,,0.91,,,129.65,0.84,0,26.9,first,
P01,이영하,2026-05-15,SES_20260515_01,FB,2,128.54,119.5,7.0,2051.56,1908.7,93.04,05:36,168.0,21.51,2.0,37.0,-28.0,1.71,0.37,,1.59,,,113.26,24.65,0,25.7,normal,28.0
P01,이영하,2026-05-15,SES_20260515_01,FB,3,122.37,113.8,7.0,2152.69,1455.9,67.63,01:20,40.0,47.44,51.6,43.0,21.6,1.8,0.35,,-2.38,,,57.15,-2.92,1,28.3,manual_review,56.0
P01,이영하,2026-05-15,SES_20260515_01,FB,4,128.69,119.7,7.0,2263.04,1458.9,64.47,01:12,36.0,49.86,35.6,6.2,5.6,1.75,0.3,,-1.12,,,77.16,-0.74,1,28.3,normal,17.0
P01,이영하,2026-05-15,SES_20260515_01,FB,5,131.2,122.0,7.0,2268.85,1443.5,63.62,01:16,38.0,50.49,62.6,1.3,32.6,1.79,0.31,,-2.63,,,68.72,-15.84,1,27.8,normal,15.0
P01,이영하,2026-05-15,SES_20260515_01,FB,6,122.08,113.5,7.0,2181.55,1254.2,57.49,01:24,42.0,54.91,-23.7,20.7,-53.7,1.94,0.51,,-3.82,,,71.73,-24.08,1,28.8,normal,15.0
P01,이영하,2026-05-15,SES_20260515_01,FB,7,129.27,120.2,7.0,2027.64,1379.3,68.03,01:12,36.0,47.14,32.6,12.4,2.6,1.77,0.32,,-1.77,,,53.6,0.87,1,25.2,normal,17.0
P01,이영하,2026-05-15,SES_20260515_01,FB,8,126.0,117.2,7.0,2162.05,1408.3,65.14,01:18,39.0,49.36,37.1,16.5,7.1,1.81,0.35,,-1.71,,,63.06,11.86,1,27.6,normal,17.0
P01,이영하,2026-05-15,SES_20260515_01,FB,9,127.49,118.6,7.0,2135.74,1417.5,66.37,01:18,39.0,48.42,47.5,-1.7,17.5,1.83,0.3,,-2.06,,,68.07,-14.98,1,27.0,normal,16.0
P01,이영하,2026-05-15,SES_20260515_01,FB,10,132.33,123.1,7.0,2304.98,2077.6,90.14,12:16,8.0,25.66,1.9,48.2,-28.1,1.64,0.3,,1.17,,,92.5,-42.36,0,28.0,player_boundary,135.0
P01,이영하,2026-05-15,SES_20260515_01,FB,11,124.2,115.5,7.0,2123.39,1863.2,87.75,01:18,39.0,28.66,64.8,44.1,34.8,1.8,0.43,,-1.77,,,83.24,-1.2,1,27.5,manual_review,71.0
P01,이영하,2026-05-15,SES_20260515_01,FB,12,125.97,117.2,7.0,2058.55,1579.9,76.75,01:34,47.0,39.87,18.5,52.2,-11.5,1.84,0.48,,-1.08,,,116.88,14.7,0,26.3,manual_review,81.0
P01,이영하,2026-05-15,SES_20260515_01,FB,13,123.49,114.8,7.0,2060.85,1778.0,86.28,01:18,39.0,30.37,75.5,30.3,45.5,1.81,0.36,,-3.9,,,29.69,-61.56,0,26.9,normal,15.0
P01,이영하,2026-05-15,SES_20260515_01,FB,14,112.59,104.7,7.0,1757.72,1568.3,89.22,01:38,49.0,26.85,31.9,10.9,1.9,0.53,0.81,,6.63,,,135.65,-98.59,0,25.1,player_boundary,141.0
P01,이영하,2026-05-15,SES_20260515_01,FB,15,117.79,109.5,7.0,1859.76,1681.9,90.44,01:48,54.0,25.26,17.4,34.3,-12.6,0.51,0.84,,8.22,,,166.08,-28.17,0,25.4,normal,19.0
P01,이영하,2026-05-15,SES_20260515_01,FB,16,118.8,110.5,7.0,1855.12,1679.5,90.53,01:44,52.0,25.13,41.4,44.1,11.4,0.56,0.88,,7.73,,,179.32,-46.79,0,25.1,normal,14.0
P01,이영하,2026-05-15,SES_20260515_01,FB,17,117.47,109.2,7.0,1852.87,1696.3,91.55,04:16,128.0,23.73,4.8,26.0,-25.2,0.51,0.89,,7.97,,,147.91,-29.44,0,25.4,normal,16.0
P01,이영하,2026-05-15,SES_20260515_01,FB,18,113.93,106.0,7.0,1849.38,1657.6,89.63,01:48,54.0,26.32,32.4,19.3,2.4,0.55,0.83,,7.09,,,153.68,-91.88,0,26.1,normal,15.0
P01,이영하,2026-05-15,SES_20260515_01,FB,19,109.2,101.6,7.0,1860.9,1715.9,92.21,04:16,128.0,22.77,-18.4,45.5,-48.4,0.45,0.9,,9.11,,,148.57,-45.22,0,27.4,normal,16.0
P01,이영하,2026-05-15,SES_20260515_01,FB,20,111.54,103.7,7.0,1902.99,1761.9,92.58,04:12,126.0,22.2,2.8,36.9,-27.2,0.48,0.86,,9.19,,,171.89,-60.46,0,27.5,normal,15.0
P01,이영하,2026-05-15,SES_20260515_01,FB,21,108.82,101.2,7.0,1921.26,1742.3,90.69,01:54,57.0,24.92,18.4,33.0,-11.6,0.51,0.9,,7.06,,,126.38,-52.0,0,28.4,normal,14.0
P01,이영하,2026-05-15,SES_20260515_01,FB,22,112.23,104.4,7.0,1894.42,1608.4,84.9,02:06,63.0,31.9,37.1,52.5,7.1,0.6,0.97,,5.4,,,114.89,-20.26,0,27.2,normal,15.0
P01,이영하,2026-05-15,SES_20260515_01,FB,23,110.56,102.8,7.0,1989.4,1571.0,78.97,01:30,45.0,37.85,18.2,26.1,-11.8,0.55,0.88,,6.36,,,121.94,-94.07,0,29.0,normal,17.0
P01,이영하,2026-05-15,SES_20260515_01,FB,24,125.94,117.1,7.0,1927.37,1780.3,92.37,01:34,47.0,22.53,25.7,19.6,-4.3,1.55,0.52,,0.14,,,138.8,-1.35,0,24.6,player_boundary,132.0
P01,이영하,2026-05-15,SES_20260515_01,FB,25,129.28,120.2,7.0,1982.58,1828.3,92.22,02:04,62.0,22.76,27.2,47.8,-2.8,1.43,0.94,,0.98,,,88.32,-33.44,0,24.7,normal,12.0
P01,이영하,2026-05-15,SES_20260515_01,FB,26,126.26,117.4,7.0,1864.72,1605.4,86.09,02:30,75.0,30.58,28.2,47.5,-1.8,1.4,0.97,,1.53,,,99.44,-2.82,1,23.8,normal,15.0
P01,이영하,2026-05-15,SES_20260515_01,FB,27,127.06,118.2,7.0,2007.7,1555.5,77.48,02:24,72.0,39.22,33.1,34.9,3.1,1.42,1.0,,1.71,,,118.2,-9.9,0,25.4,rapsodo_missing_1,44.0
P01,이영하,2026-05-15,SES_20260515_01,FB,28,134.78,125.3,7.0,2893.17,2831.6,97.87,12:22,11.0,11.84,62.0,47.5,32.0,1.45,1.02,,1.8,,,149.37,47.89,0,34.5,normal,14.0
P01,이영하,2026-05-15,SES_20260515_01,FB,29,128.67,119.7,7.0,2017.73,1716.9,85.09,02:32,76.0,31.69,55.8,40.2,25.8,1.45,0.95,,0.14,,,90.56,-75.75,0,25.2,manual_review,60.0
P01,이영하,2026-05-15,SES_20260515_01,FB,30,112.64,104.8,7.0,1805.1,1572.1,87.09,11:04,332.0,-29.44,45.6,-5.0,15.6,1.67,-0.38,,1.74,,,132.32,31.75,0,25.8,player_boundary,472.0
P01,이영하,2026-05-15,SES_20260515_01,FB,31,118.27,110.0,7.0,0,,,-,,,,-7.9,-30,2.1,-0.13,,4.41,,,145.73,24.21,0,,normal,13.0
P01,이영하,2026-05-15,SES_20260515_01,FB,32,109.5,101.8,7.0,1921.55,1498.1,77.96,11:48,354.0,-38.77,-10.3,0.9,-40.3,1.76,-0.34,,-1.74,,,77.4,0.53,1,28.2,normal,25.0
P01,이영하,2026-05-15,SES_20260515_01,FB,33,112.24,104.4,7.0,1894.28,1468.1,77.5,11:48,354.0,-39.2,,,-30,,,,,,,,,0,27.2,normal,17.0
P01,이영하,2026-05-15,SES_20260515_01,FB,34,108.23,100.7,7.0,1887.34,1488.1,78.85,11:46,353.0,-37.96,47.5,6.6,17.5,1.73,-0.37,,1.47,,,133.46,-54.24,0,28.1,normal,16.0
P01,이영하,2026-05-15,SES_20260515_01,FB,35,108.42,100.8,7.0,1855.24,1351.5,72.85,11:46,353.0,-43.24,-0.6,-3.9,-30.6,1.82,-0.24,,-2.05,,,84.1,109.02,0,27.5,normal,14.0
P01,이영하,2026-05-15,SES_20260515_01,FB,36,114.02,106.0,7.0,1791.5,1408.2,78.6,12:14,7.0,-38.18,15.8,29.8,-14.2,1.67,-0.34,,0.21,,,115.35,38.17,0,25.3,normal,18.0
P01,이영하,2026-05-15,SES_20260515_01,FB,37,118.3,110.0,7.0,1816.44,1521.6,83.77,12:14,7.0,-33.1,61.5,58.1,31.5,1.72,-0.33,,1.99,,,153.48,-18.63,0,24.7,normal,14.0
